SrcIP,DstIP,SrcPort,DstPort,SNI,OrgName,JA3hash,JA4hash,AppName,Type,JA3Shash,JA4Shash,Filename,Version,JA4X1,Issuer1,Subject1,JA4X2,Issuer2,Subject2,JA4X3,Issuer3,Subject3
192.168.66.2,17.57.146.54,51531,5223,courier.push.apple.com,Apple Inc.; APPLE-WWNET,74954a0c86284d0d6e1c4efefe92b521,t12d2108a3_76e208dd3e22_2dae41c691ec,AMPLibraryAgent,0,3f48aac872b1dbe54fa3547535ec9d43,t120400_c009_12a20535f9be,tests/ondra2/AMPLibraryAgent-extracted.csv,0,37141d512b83_9d24d310e1ba_c5571e5ecf57,CN=Apple Inc.; ON=Apple Certification Authority,CN=Apple Root CA; ON=Apple Inc.,7d5dbb3783b4_37141d512b83_de092c613310,CN=Apple Inc.; ON=Apple Root CA,CN=Apple Certification Authority; ON=Apple Root CA,7d5dbb3783b4_7d5dbb3783b4_e4676ec0041e,None,None
192.168.66.2,17.8.155.117,51533,443,fpinit.itunes.apple.com,Apple Inc.; APPLE-WWNET,28a2c9bd18a11de089ef85a160da29e4,t12d1909h2_d83cc789557e_7af1ed941c26,AMPLibraryAgent,0,0191d81a4ad7ee1a330a1e2c51d23ace,t1205h2_c02b_460f64128655,tests/ondra2/AMPLibraryAgent-extracted.csv,0,a373a9f83c6b_e1caf2c17c5d_258381d3d68a,CN=Apple Public EV Server ECC CA 1 - G1; ON=Apple Inc.,CN=fpinit.itunes.apple.com; ON=Apple Inc.,7d5dbb3783b4_a373a9f83c6b_44440d41940c,CN=Apple Inc.; ON=DigiCert Global Root G3,None,None,None,None
192.168.66.2,2.18.36.24,51527,443,init.itunes.apple.com,Network Architecture Role Account; AKAMAI-PA (EU),28a2c9bd18a11de089ef85a160da29e4,t12d1909h2_d83cc789557e_7af1ed941c26,AMPLibraryAgent,0,35af4c8cd9495354f7d701ce8ad7fd2d,t1206h2_c030_e1dda4771ae8,tests/ondra2/AMPLibraryAgent-extracted.csv,0,a373a9f83c6b_ba7ce0880c07_258381d3d68a,CN=Apple Public EV Server RSA CA 2 - G1; ON=Apple Inc.,None,7d5dbb3783b4_a373a9f83c6b_44440d41940c,None,None,None,None,None
192.168.66.2,2.18.36.24,51534,443,s.mzstatic.com,Network Architecture Role Account; AKAMAI-PA (EU),28a2c9bd18a11de089ef85a160da29e4,t12d1909h2_d83cc789557e_7af1ed941c26,AMPLibraryAgent,0,35af4c8cd9495354f7d701ce8ad7fd2d,t1206h2_c030_e1dda4771ae8,tests/ondra2/AMPLibraryAgent-extracted.csv,0,a373a9f83c6b_ba7ce0880c07_258381d3d68a,CN=Apple Public EV Server RSA CA 2 - G1; ON=Apple Inc.,None,7d5dbb3783b4_a373a9f83c6b_44440d41940c,None,None,None,None,None
192.168.66.2,184.72.253.118,51080,443,fls-na.amazon.com,Amazon Data Services NoVa; AMAZON-IAD,66918128f1b9b03303d77c6f2eefd128,t13d1615h2_46e7e9700bed_45f260be83e2,Amazon_Music,0,cabca0e45d1843a8873f229da4a3323f,t1204h2_c02f_e8548d846bdd,tests/ondra2/Amazon_Music-extracted.csv,0,None,None,None,None,None,None,None,None,None
192.168.66.2,209.54.180.182,50788,443,unagi-na.amazon.com,Amazon.com; Inc.; AMAZO-4,66918128f1b9b03303d77c6f2eefd128,t13d1615h2_46e7e9700bed_45f260be83e2,Amazon_Music,A,f4febc55ea12b31ae17cfb7e614afda8,t130200_1301_a56c5b993250,tests/ondra2/Amazon_Music-extracted.csv,0,None,None,None,None,None,None,None,None,None
192.168.66.2,34.224.122.14,50787,443,fls-na.amazon.com,Amazon Technologies Inc.; AT-88-Z,66918128f1b9b03303d77c6f2eefd128,t13d1615h2_46e7e9700bed_45f260be83e2,Amazon_Music,0,bfc90d56141386ee83b56cda231cccfc,t1206h2_c02f_7c777c72cf5b,tests/ondra2/Amazon_Music-extracted.csv,0,a373a9f83c6b_7022c563de38_2cdf432ec278,CN=Amazon RSA 2048 M02; ON=Amazon,None,a373a9f83c6b_a373a9f83c6b_3684c5172069,CN=Amazon Root CA 1; ON=Amazon,CN=Amazon RSA 2048 M02; ON=Amazon,2bab15409345_a373a9f83c6b_44ce05048d28,CN=Starfield Services Root Certificate Authority - G2; ON=Starfield Technologies; Inc.,CN=Amazon Root CA 1; ON=Amazon
192.168.66.2,52.94.225.56,51109,443,unagi.amazon.com,Amazon Technologies Inc.; AT-88-Z,66918128f1b9b03303d77c6f2eefd128,t13d1615h2_46e7e9700bed_45f260be83e2,Amazon_Music,0,f4febc55ea12b31ae17cfb7e614afda8,t130200_1301_a56c5b993250,tests/ondra2/Amazon_Music-extracted.csv,0,None,None,None,None,None,None,None,None,None
192.168.66.2,65.9.92.45,50785,443,www.amazon.com,Amazon.com; Inc.; AMAZO-CF,66918128f1b9b03303d77c6f2eefd128,t13d1615h2_46e7e9700bed_45f260be83e2,Amazon_Music,0,f4febc55ea12b31ae17cfb7e614afda8,t130200_1301_a56c5b993250,tests/ondra2/Amazon_Music-extracted.csv,0,None,None,None,None,None,None,None,None,None
192.168.66.2,151.101.3.6,51499,443,bag.itunes.apple.com,Fastly; Inc.; SKYCA-3,28a2c9bd18a11de089ef85a160da29e4,t12d1909h2_d83cc789557e_7af1ed941c26,AppleTV,0,a885fb01204bc11cc58efc02fe640899,t1207h2_c02f_d0d4e4171d74,tests/ondra2/AppleTV-extracted.csv,0,a373a9f83c6b_ba7ce0880c07_e83873d438cb,CN=Apple Public EV Server RSA CA 2 - G1; ON=Apple Inc.,None,7d5dbb3783b4_a373a9f83c6b_44440d41940c,None,None,None,None,None
