Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,PR AUC
decision_tree_min_samples_split_2_depth_30.joblib,0.8089026577531387,0.898497059464169,0.8538604843717656,0.8756102738272129,0.7479747890368813,0.8823060863002423
"MLP_hidden_layer_sizes_(50,)_activation_func_relu.joblib",0.8154247513451818,0.8925918064105286,0.8704202028565514,0.8813665898134563,0.8710461207873752,0.9651398046683284
cnn_f59_d44.keras,0.7937387901516387,0.8450077399380805,0.9039536327882426,0.8734873487348734,0.8350197505167758,0.9553046896625023
rf_trees_n_estimators_58_max_depth_10.joblib,0.8181966411218001,0.8861180382377389,0.8826329952390809,0.8843720833765426,0.8799441077704444,0.9671956857430192
SMOTE xgb_learning_rate_0.47_max_depth_3_n_estimators_183_subsample_0.72_colsample_bytree_0.83.joblib,0.8892874612750693,0.9568661971830986,0.9000206996481059,0.9275733333333334,0.9582989531574277,0.9887125525481064
SMOTE iforest_n_estimators_102_contamination_0_38_max_features_0_88.joblib,0.7518343388227621,0.8289918472857427,0.8629683295383979,0.8456389452332658,0.6267212743097653,0.8580039066007157
SMOTE rf_trees_n_estimators_101_max_depth_30.joblib,0.7974889939670634,0.9213430382718948,0.8122541916787415,0.8633663366336634,0.8822710693641711,0.9681743647630933
"SMOTE MLP_hidden_layer_sizes_(50, 50)_activation_func_relu.joblib",0.7875428012391977,0.8803363518758085,0.8451666321672532,0.8623930721301087,0.8398620691190185,0.9509333348957857
SMOTE decision_tree_min_samples_split_2_depth_None.joblib,0.7904777433556172,0.9129017233348858,0.8114262057545022,0.8591780821917808,0.7620879108649624,0.889293063151153
SMOTE cnn_f107_d43_dropout_0_45.keras,0.7630849502690363,0.892243381328379,0.7952804802318361,0.8409762504104191,0.8351408959227415,0.9534328303154276
SMOTE lr_C_94.9354_solver_lbfgs.joblib,0.8071090820153269,0.9108108108108108,0.8370937694059201,0.8723977995901198,0.8678790110337711,0.9646744064840971
SMOTE svm_C{C}_kernel_{kernel}.joblib,0.7819990216859612,0.9246475449684006,0.7874146139515629,0.8505310229178312,0.8685030211629259,0.9648401671260529
